gene,Tumor digest,pre-REP,post-REP Conv,post-REP CytoTIL15,PDx Conv,PDx CytoTIL15
LRRC58,0.07047477744807122,0.16745562130177516,0.24790940766550523,0.2065724852967926,0.05013192612137203,0.0425531914893617
LRRC59,0.0897626112759644,0.16390532544378697,0.31898954703832755,0.230097617170921,0.11609498680738786,0.15839243498817968
LRRC6,7.41839762611276e-4,0.01775147928994083,0.00801393728222996,0.00594191475171284,NA,0.00236406619385342
LRRC61,0.04896142433234421,0.03446745562130177,0.06149825783972125,0.03704601952343418,0.01319261213720316,0.01654846335697399
LRRC63,0.00741839762611276,0.02455621301775147,0.03554006968641115,0.0214030194628024,0.01055408970976253,0.03073286052009456
LRRC69,0.021513353115727,0.03579881656804733,0.07229965156794425,0.0478384769296065,0.01846965699208443,0.01891252955082742
LRRC7,0.0244807121661721,0.02233727810650887,0.01846689895470383,0.0186139574364882,0.02638522427440633,0.01418439716312056
LRRC70,0.00148367952522255,0.00118343195266272,0.00121951219512195,9.0947674771115e-4,NA,NA
LRRC73,0.00148367952522255,5.91715976331361e-4,1.7421602787456446e-4,NA,NA,NA
LRRC74A,0.00148367952522255,1.4792899408284024e-4,1.7421602787456446e-4,4.244224822652034e-4,NA,0.00236406619385342
LRRC74B,7.41839762611276e-4,2.958579881656805e-4,NA,1.8189534954223005e-4,NA,NA
LRRC75A,0.06676557863501484,0.0628698224852071,0.05696864111498258,0.08045837628084641,0.03693931398416886,0.06146572104018912
LRRC75B,7.41839762611276e-4,0.01346153846153846,0.00540069686411149,0.00272843024313345,0.01319261213720316,0.01418439716312056
LRRC8A,0.04451038575667656,0.1066568047337278,0.110801393728223,0.07979142666585824,0.02638522427440633,0.05673758865248227
LRRC8B,0.22997032640949555,0.16553254437869822,0.18554006968641115,0.12041472139695628,0.13720316622691292,0.1182033096926714
LRRC8C,0.14688427299703263,0.15044378698224853,0.2228222996515679,0.19002000848844963,0.05804749340369393,0.07092198581560284
LRRC8D,0.03115727002967359,0.03195266272189349,0.04547038327526132,0.04365488389013521,0.03430079155672823,0.0425531914893617
LRRC9,0.00222551928783382,8.875739644970414e-4,5.226480836236934e-4,0.00175832171224155,0.00263852242744063,NA
LRRCC1,0.02373887240356083,0.03298816568047337,0.07421602787456447,0.04207845752743588,0.02902374670184696,0.03073286052009456
LRRD1,7.41839762611276e-4,0.00192307692307692,0.00104529616724738,7.882131813496635e-4,NA,NA
LRRFIP1,0.5526706231454006,0.8022189349112426,0.9047038327526132,0.8020978596980537,0.5514511873350924,0.6122931442080378
LRRFIP2,0.2893175074183976,0.43431952662721895,0.5317073170731708,0.3594858424786273,0.21372031662269128,0.2458628841607565
LRRIQ3,0.0029673590504451,0.00636094674556213,0.00958188153310104,0.00618444188443582,0.00263852242744063,0.00472813238770685
LRRIQ4,7.41839762611276e-4,8.875739644970414e-4,6.968641114982578e-4,6.063178318074335e-4,NA,NA
LRRK1,0.01112759643916914,4.437869822485207e-4,0.00121951219512195,8.488449645304068e-4,NA,0.00709219858156028
LRRK2,0.01780415430267062,4.437869822485207e-4,1.7421602787456446e-4,3.0315891590371673e-4,NA,0.00472813238770685
LRRN1,0.00222551928783382,0.0014792899408284,0.00574912891986062,0.00430485660583277,0.00263852242744063,NA
LRRN3,0.01780415430267062,0.4377218934911243,0.6155052264808363,0.6486388164675924,0.0949868073878628,0.2458628841607565
LRRN4,7.41839762611276e-4,NA,NA,1.8189534954223005e-4,NA,0.00236406619385342
LRRN4CL,7.41839762611276e-4,5.91715976331361e-4,6.968641114982578e-4,2.4252713272297335e-4,NA,NA
LRRTM2,0.00370919881305638,7.396449704142012e-4,0.00156794425087108,5.456860486266901e-4,NA,NA
LRRTM3,0.00148367952522255,2.958579881656805e-4,0.00139372822299651,8.488449645304068e-4,NA,NA
LRRTM4,0.00890207715133531,0.00118343195266272,0.00156794425087108,0.00157642636269932,NA,0.00709219858156028
LRSAM1,0.05341246290801187,0.15502958579881657,0.13362369337979094,0.10034560116413024,0.0633245382585752,0.06146572104018912
LRTM2,7.41839762611276e-4,NA,NA,NA,NA,NA
LRTOMT,0.0059347181008902,0.01198224852071006,0.01550522648083623,0.01085308918935305,0.00527704485488126,0.00945626477541371
LRWD1,0.01928783382789317,0.02855029585798816,0.06358885017421603,0.03880434123567574,0.0316622691292876,0.0260047281323877
LSAMP,0.03115727002967359,0.00961538461538461,0.01411149825783972,0.01200509306978718,0.03430079155672823,0.07565011820330969
LSG1,0.12462908011869436,0.17840236686390532,0.24442508710801392,0.20578427211544292,0.09234828496042216,0.1252955082742317
LSM1,0.1394658753709199,0.23875739644970417,0.4658536585365854,0.355544776571879,0.13720316622691292,0.1702127659574468
LSM10,0.15059347181008903,0.2949704142011834,0.3871080139372822,0.2553204389741102,0.17678100263852242,0.2553191489361702
LSM11,0.00890207715133531,0.03017751479289941,0.03658536585365853,0.01915964348511489,0.02374670184696569,0.0260047281323877
LSM12,0.16913946587537093,0.2692307692307692,0.42229965156794425,0.32680531134420665,0.15567282321899736,0.1938534278959811
LSM14A,0.38427299703264095,0.5881656804733728,0.677177700348432,0.567937913054023,0.29815303430079154,0.3120567375886525
LSM14B,0.02893175074183976,0.05369822485207101,0.07090592334494773,0.0579033529376099,0.01846965699208443,0.03309692671394799
LSM2,0.2262611275964392,0.43890532544378696,0.6182926829268293,0.4039895713332929,0.4485488126649077,0.44208037825059104
LSM3,0.16023738872403562,0.4812130177514793,0.7402439024390244,0.5615109440368641,0.316622691292876,0.4066193853427896
LSM4,0.19881305637982197,0.48180473372781063,0.7271777003484321,0.5481113199539198,0.3905013192612138,0.4988179669030733
LSM5,0.18545994065281896,0.49881656804733726,0.7209059233449477,0.6011034984538896,0.40897097625329815,0.4444444444444444
LSM6,0.22551928783382788,0.4224852071005918,0.7332752613240419,0.6040138240465652,0.40633245382585753,0.4515366430260047
LSM7,0.38204747774480713,0.6269230769230769,0.8747386759581881,0.7777845146425756,0.6068601583113457,0.6099290780141844
LSM8,0.37462908011869434,0.5177514792899408,0.7721254355400697,0.6488813436003152,0.41952506596306066,0.5011820330969267
LSMEM1,0.05192878338278932,0.00724852071005917,0.00557491289198606,0.0054568604862669,0.03430079155672823,0.01418439716312056
LSP1,0.5964391691394659,0.6931952662721893,0.8752613240418119,0.7341296307524404,0.7229551451187335,0.7470449172576832
LSR,0.01928783382789317,0.0150887573964497,0.00365853658536585,0.00466864730491723,NA,0.01654846335697399
LSS,0.02818991097922848,0.06420118343195266,0.09337979094076657,0.0551142909112957,0.02638522427440633,0.05437352245862884
LST1,0.05489614243323442,0.32381656804733727,0.29425087108013936,0.2849693809494937,0.20316622691292877,0.15839243498817968
LTA,0.02522255192878338,0.07618343195266272,0.0975609756097561,0.1257503183168617,0.04485488126649076,0.03309692671394799
LTA4H,0.11201780415430268,0.14585798816568046,0.08832752613240417,0.07912447705087007,0.06068601583113457,0.06619385342789598
LTB,0.2952522255192878,0.9476331360946746,0.8993031358885017,0.977808767355848,0.17941952506596306,0.29550827423167847
LTB4R,0.04821958456973294,0.0955621301775148,0.10958188153310104,0.0965257988237434,0.0079155672823219,0.03546099290780142
LTB4R2,0.0029673590504451,0.00399408284023668,0.0073170731707317,0.00842781786212332,0.00263852242744063,NA
LTBP1,0.01928783382789317,0.00739644970414201,0.00174216027874564,0.00194021706178378,0.02374670184696569,0.0425531914893617
LTBP2,0.00741839762611276,0.0014792899408284,0.00121951219512195,8.488449645304068e-4,NA,NA
LTBP3,0.05489614243323442,0.05044378698224852,0.06533101045296168,0.04365488389013521,0.03430079155672823,0.04728132387706856
LTBP4,0.05415430267062315,0.081952662721893485,0.04651567944250871,0.07142424058691565,0.0316622691292876,0.07801418439716312
LTBR,0.01112759643916914,NA,1.7421602787456446e-4,3.0315891590371673e-4,0.0158311345646438,0.01182033096926714
LTC4S,0.01706231454005934,0.05236686390532544,0.01620209059233449,0.01036803492390711,0.01055408970976253,0.05200945626477541
LTF,7.41839762611276e-4,NA,3.484320557491289e-4,3.0315891590371673e-4,NA,0.00945626477541371
LTK,0.00222551928783382,0.00133136094674556,0.00121951219512195,6.669496149881768e-4,NA,NA
LTN1,0.18620178041543023,0.28624260355029585,0.30296167247386757,0.2534408536955072,0.13192612137203166,0.1702127659574468
LTV1,0.05118694362017804,0.09349112426035502,0.20958188153310103,0.14157521372703571,0.0949868073878628,0.08747044917257683
LUC7L,0.22774480712166173,0.3113905325443787,0.30209059233449476,0.259625295579943,0.19788918205804748,0.20567375886524825
LUC7L2,0.17507418397626112,0.17766272189349114,0.2991289198606272,0.24543745831564903,0.12401055408970976,0.12293144208037823
LUC7L3,0.48590504451038574,0.7029585798816568,0.7878048780487805,0.6792578669738677,0.3799472295514512,0.40425531914893614
LUM,0.01928783382789317,NA,NA,NA,NA,NA
LURAP1,0.0029673590504451,0.00118343195266272,6.968641114982578e-4,8.488449645304068e-4,0.0079155672823219,0.00472813238770685
LURAP1L,0.00667655786350148,7.396449704142012e-4,0.0019163763066202,3.637906990844601e-4,0.00263852242744063,NA
LUZP1,0.3212166172106825,0.21227810650887577,0.2761324041811847,0.21669799308797671,0.0870712401055409,0.13002364066193853
LUZP2,0.00370919881305638,2.958579881656805e-4,8.710801393728223e-4,0.00157642636269932,NA,NA
LVRN,0.00222551928783382,2.958579881656805e-4,3.484320557491289e-4,4.244224822652034e-4,0.00263852242744063,NA
LXN,0.05415430267062315,0.1165680473372781,0.1297909407665505,0.07481962044503729,0.0633245382585752,0.08747044917257683
LY6E,0.3724035608308605,0.6093195266272189,0.8268292682926829,0.656763475413812,0.5013192612137203,0.5319148936170213
LY6G5B,0.00148367952522255,0.00488165680473372,0.00470383275261324,0.0026677984599527,NA,0.00236406619385342
LY6G5C,0.021513353115727,0.01198224852071006,0.02473867595818815,0.02067543806463348,0.0158311345646438,0.04728132387706856
LY6G6C,0.00222551928783382,7.396449704142012e-4,NA,NA,NA,NA
LY6H,0.00667655786350148,NA,1.7421602787456446e-4,1.2126356636148667e-4,NA,NA
LY6K,7.41839762611276e-4,NA,NA,NA,NA,NA
LY75,0.04376854599406528,0.03210059171597633,0.03327526132404181,0.02922451949311829,0.01055408970976253,0.03309692671394799
LY75-CD302,0.01038575667655786,0.00798816568047337,0.00156794425087108,0.0026677984599527,0.00527704485488126,0.00472813238770685
LY86,0.01038575667655786,0.0014792899408284,5.226480836236934e-4,4.244224822652034e-4,0.00263852242744063,NA
LY9,0.07195845697329377,0.08328402366863906,0.0229965156794425,0.03152852725398654,NA,0.00472813238770685
LY96,0.08827893175074183,0.15059171597633136,0.08031358885017421,0.07669920572364033,0.05540897097625329,0.03073286052009456
LYAR,0.09347181008902077,0.210207100591716,0.3054006968641115,0.31862002061480627,0.0870712401055409,0.08983451536643026
LYG1,0.00370919881305638,0.01272189349112426,0.01254355400696864,0.01182319772024495,0.00527704485488126,NA
LYL1,0.01854599406528189,0.03979289940828402,0.01393728222996515,0.01370278299884799,0.0316622691292876,0.01418439716312056
LYN,0.0771513353115727,0.15724852071005918,0.18362369337979095,0.1330261322985509,0.16358839050131926,0.21749408983451535
LYNX1,0.00148367952522255,1.4792899408284024e-4,1.7421602787456446e-4,2.4252713272297335e-4,NA,NA
LYPD1,0.00370919881305638,NA,NA,1.2126356636148667e-4,NA,0.00709219858156028
LYPD3,0.01112759643916914,0.00355029585798816,8.710801393728223e-4,1.8189534954223005e-4,NA,NA
LYPD5,7.41839762611276e-4,4.437869822485207e-4,5.226480836236934e-4,6.063178318074335e-4,NA,NA
LYPD6B,0.0029673590504451,0.00103550295857988,3.484320557491289e-4,2.4252713272297335e-4,0.00263852242744063,0.00236406619385342
LYPLA1,0.17507418397626112,0.374112426035503,0.5440766550522648,0.4139331837749348,0.21372031662269128,0.28132387706855794
LYPLA2,0.09124629080118694,0.1346153846153846,0.25592334494773517,0.2019038379918753,0.07651715039577836,0.14657210401891252
LYPLAL1,0.0586053412462908,0.18772189349112425,0.1848432055749129,0.17031467895470806,0.06068601583113457,0.0851063829787234
LYRM1,0.06676557863501484,0.2375739644970414,0.36202090592334496,0.209300915539926,0.0633245382585752,0.10401891252955082
LYRM2,0.10311572700296737,0.2331360946745562,0.3973867595818815,0.31880191596434854,0.14775725593667546,0.13238770685579196
LYRM4,0.13056379821958458,0.24822485207100592,0.5064459930313588,0.3126174740799127,0.19261213720316625,0.24349881796690304
LYRM7,0.05118694362017804,0.1334319526627219,0.14233449477351917,0.1107742678712181,0.05277044854881266,0.03309692671394799
LYRM9,0.02670623145400593,0.02204142011834319,0.01846689895470383,0.01709816285696962,0.02638522427440633,0.01654846335697399
LYSMD1,0.00370919881305638,0.0029585798816568,0.00313588850174216,0.00424422482265203,0.00263852242744063,0.00236406619385342
LYSMD2,0.1016320474777448,0.0940828402366864,0.20034843205574912,0.15424725641181108,0.07387862796833773,0.09456264775413711
LYSMD3,0.17136498516320475,0.1297337278106509,0.1979094076655052,0.1741344812950949,0.06596306068601583,0.10401891252955082
LYSMD4,0.02893175074183976,0.03772189349112426,0.04843205574912892,0.03492390711210817,0.0158311345646438,0.02364066193853428
LYST,0.8523738872403561,0.6473372781065089,0.7245644599303136,0.633117079973322,0.9023746701846964,0.9385342789598108
LYVE1,0.00148367952522255,5.91715976331361e-4,1.7421602787456446e-4,2.4252713272297335e-4,NA,NA
LYZ,0.15949554896142434,0.0014792899408284,0.00331010452961672,0.00703328684896622,0.01846965699208443,0.01418439716312056
LYZL1,0.00148367952522255,NA,1.7421602787456446e-4,2.4252713272297335e-4,NA,NA
LZIC,0.08605341246290801,0.2146449704142012,0.3229965156794425,0.23991996604620144,0.079155672823219,0.12293144208037823
LZTFL1,0.01409495548961424,0.11405325443786982,0.25836236933797907,0.514763839204511,0.0158311345646438,0.02364066193853428
