sample_name,gene,no_of_cells,no_of_pos_cells,frac_of_pos_cells
OBS-006-005,AC104662.2,379,47,0.12401055408970976
OBS-006-005,AC105052.1,379,6,0.0158311345646438
OBS-006-005,AC105052.3,379,7,0.018469656992084433
OBS-006-005,AC107871.1,379,2,0.005277044854881266
OBS-006-005,AC108488.2,379,9,0.023746701846965697
OBS-006-005,AC114490.2,379,1,0.002638522427440633
OBS-006-005,AC114490.3,379,1,0.002638522427440633
OBS-006-005,AC116366.3,379,38,0.10026385224274406
OBS-006-005,AC118549.1,379,73,0.19261213720316622
OBS-006-005,AC118553.2,379,1,0.002638522427440633
OBS-006-005,AC119396.1,379,1,0.002638522427440633
OBS-006-005,AC124312.1,379,14,0.036939313984168866
OBS-006-005,AC137834.1,379,1,0.002638522427440633
OBS-006-005,AC138811.2,379,1,0.002638522427440633
OBS-006-005,AC138894.1,379,1,0.002638522427440633
OBS-006-005,AC138969.1,379,7,0.018469656992084433
OBS-006-005,AC140504.1,379,1,0.002638522427440633
OBS-006-005,AC145212.1,379,2,0.005277044854881266
OBS-006-005,AC233723.1,379,1,0.002638522427440633
OBS-006-005,AC240274.1,379,2,0.005277044854881266
OBS-006-005,AC244197.3,379,8,0.021108179419525065
OBS-006-005,ACAA1,379,57,0.1503957783641161
OBS-006-005,ACAA2,379,68,0.17941952506596306
OBS-006-005,ACACA,379,47,0.12401055408970976
OBS-006-005,ACACB,379,5,0.013192612137203167
OBS-006-005,ACAD10,379,6,0.0158311345646438
OBS-006-005,ACAD11,379,3,0.0079155672823219
OBS-006-005,ACAD8,379,17,0.044854881266490766
OBS-006-005,ACAD9,379,16,0.04221635883905013
OBS-006-005,ACADM,379,57,0.1503957783641161
OBS-006-005,ACADS,379,13,0.03430079155672823
OBS-006-005,ACADSB,379,9,0.023746701846965697
OBS-006-005,ACADVL,379,127,0.33509234828496043
OBS-006-005,ACAP1,379,113,0.29815303430079154
OBS-006-005,ACAP2,379,140,0.36939313984168864
OBS-006-005,ACAP3,379,16,0.04221635883905013
OBS-006-005,ACAT1,379,46,0.12137203166226913
OBS-006-005,ACAT2,379,67,0.17678100263852242
OBS-006-005,ACBD3,379,67,0.17678100263852242
OBS-006-005,ACBD4,379,9,0.023746701846965697
OBS-006-005,ACBD5,379,27,0.0712401055408971
OBS-006-005,ACBD6,379,47,0.12401055408970976
OBS-006-005,ACBD7,379,2,0.005277044854881266
OBS-006-005,ACCS,379,2,0.005277044854881266
OBS-006-005,ACD,379,25,0.06596306068601583
OBS-006-005,ACER2,379,8,0.021108179419525065
OBS-006-005,ACER3,379,43,0.11345646437994723
OBS-006-005,ACIN1,379,71,0.18733509234828497
OBS-006-005,ACKR4,379,4,0.010554089709762533
OBS-006-005,ACLY,379,48,0.1266490765171504
OBS-006-005,ACMSD,379,1,0.002638522427440633
OBS-006-005,ACO1,379,8,0.021108179419525065
OBS-006-005,ACO2,379,31,0.08179419525065963
OBS-006-005,ACOT1,379,1,0.002638522427440633
OBS-006-005,ACOT11,379,1,0.002638522427440633
OBS-006-005,ACOT13,379,34,0.08970976253298153
OBS-006-005,ACOT2,379,10,0.026385224274406333
OBS-006-005,ACOT4,379,4,0.010554089709762533
OBS-006-005,ACOT7,379,50,0.13192612137203166
OBS-006-005,ACOT8,379,21,0.055408970976253295
OBS-006-005,ACOT9,379,41,0.10817941952506596
OBS-006-005,ACOX1,379,29,0.07651715039577836
OBS-006-005,ACOX2,379,1,0.002638522427440633
OBS-006-005,ACOX3,379,42,0.11081794195250659
OBS-006-005,ACOXL,379,44,0.11609498680738786
OBS-006-005,ACP1,379,105,0.2770448548812665
OBS-006-005,ACP2,379,15,0.0395778364116095
OBS-006-005,ACP5,379,18,0.047493403693931395
OBS-006-005,ACP6,379,2,0.005277044854881266
OBS-006-005,ACPP,379,1,0.002638522427440633
OBS-006-005,ACRBP,379,1,0.002638522427440633
OBS-006-005,ACRV1,379,1,0.002638522427440633
OBS-006-005,ACSF2,379,8,0.021108179419525065
OBS-006-005,ACSF3,379,19,0.05013192612137203
OBS-006-005,ACSL1,379,126,0.3324538258575198
OBS-006-005,ACSL3,379,45,0.11873350923482849
OBS-006-005,ACSL4,379,189,0.49868073878627966
OBS-006-005,ACSL5,379,27,0.0712401055408971
OBS-006-005,ACSL6,379,2,0.005277044854881266
OBS-006-005,ACSS1,379,24,0.0633245382585752
OBS-006-005,ACSS2,379,2,0.005277044854881266
OBS-006-005,ACSS3,379,3,0.0079155672823219
OBS-006-005,ACTA1,379,2,0.005277044854881266
OBS-006-005,ACTA2,379,33,0.0870712401055409
OBS-006-005,ACTB,379,377,0.9947229551451188
OBS-006-005,ACTG1,379,355,0.9366754617414248
OBS-006-005,ACTG2,379,3,0.0079155672823219
OBS-006-005,ACTL6A,379,54,0.1424802110817942
OBS-006-005,ACTN1,379,13,0.03430079155672823
OBS-006-005,ACTN4,379,207,0.5461741424802111
OBS-006-005,ACTR10,379,68,0.17941952506596306
OBS-006-005,ACTR1A,379,46,0.12137203166226913
OBS-006-005,ACTR1B,379,42,0.11081794195250659
OBS-006-005,ACTR2,379,213,0.5620052770448549
OBS-006-005,ACTR3,379,224,0.5910290237467019
OBS-006-005,ACTR3B,379,11,0.029023746701846966
OBS-006-005,ACTR3C,379,8,0.021108179419525065
OBS-006-005,ACTR5,379,9,0.023746701846965697
OBS-006-005,ACTR6,379,64,0.16886543535620052
OBS-006-005,ACTR8,379,16,0.04221635883905013
OBS-006-005,ACTRT3,379,1,0.002638522427440633
OBS-006-005,ACVR1,379,18,0.047493403693931395
OBS-006-005,ACVR1B,379,8,0.021108179419525065
OBS-006-005,ACVR1C,379,1,0.002638522427440633
OBS-006-005,ACVR2A,379,8,0.021108179419525065
OBS-006-005,ACY1,379,2,0.005277044854881266
OBS-006-005,ACY3,379,1,0.002638522427440633
OBS-006-005,ACYP1,379,87,0.22955145118733508
OBS-006-005,ACYP2,379,56,0.14775725593667546
OBS-006-005,AD000671.2,379,1,0.002638522427440633
OBS-006-005,ADA,379,34,0.08970976253298153
OBS-006-005,ADA2,379,21,0.055408970976253295
OBS-006-005,ADAL,379,16,0.04221635883905013
OBS-006-005,ADAM10,379,175,0.46174142480211083
OBS-006-005,ADAM12,379,12,0.0316622691292876
OBS-006-005,ADAM15,379,3,0.0079155672823219
OBS-006-005,ADAM17,379,54,0.1424802110817942
OBS-006-005,ADAM19,379,43,0.11345646437994723
OBS-006-005,ADAM20,379,2,0.005277044854881266
OBS-006-005,ADAM22,379,14,0.036939313984168866
OBS-006-005,ADAM28,379,4,0.010554089709762533
OBS-006-005,ADAM8,379,6,0.0158311345646438
OBS-006-005,ADAM9,379,26,0.06860158311345646
OBS-006-005,ADAMTS1,379,2,0.005277044854881266
OBS-006-005,ADAMTS13,379,2,0.005277044854881266
OBS-006-005,ADAMTS17,379,4,0.010554089709762533
OBS-006-005,ADAMTS2,379,1,0.002638522427440633
OBS-006-005,ADAMTS3,379,5,0.013192612137203167
OBS-006-005,ADAMTS5,379,2,0.005277044854881266
OBS-006-005,ADAMTS6,379,79,0.20844327176781002
OBS-006-005,ADAMTS7,379,1,0.002638522427440633
OBS-006-005,ADAMTSL2,379,2,0.005277044854881266
OBS-006-005,ADAMTSL3,379,1,0.002638522427440633
OBS-006-005,ADAMTSL4,379,1,0.002638522427440633
OBS-006-005,ADAP1,379,22,0.05804749340369393
OBS-006-005,ADAP2,379,2,0.005277044854881266
OBS-006-005,ADAR,379,73,0.19261213720316622
OBS-006-005,ADARB1,379,27,0.0712401055408971
OBS-006-005,ADARB2,379,7,0.018469656992084433
OBS-006-005,ADAT1,379,11,0.029023746701846966
OBS-006-005,ADAT2,379,37,0.09762532981530343
OBS-006-005,ADAT3,379,2,0.005277044854881266
OBS-006-005,ADCK1,379,4,0.010554089709762533
OBS-006-005,ADCK2,379,7,0.018469656992084433
OBS-006-005,ADCK5,379,8,0.021108179419525065
OBS-006-005,ADCY1,379,8,0.021108179419525065
OBS-006-005,ADCY3,379,48,0.1266490765171504
OBS-006-005,ADCY6,379,1,0.002638522427440633
OBS-006-005,ADCY7,379,32,0.08443271767810026
OBS-006-005,ADCY9,379,14,0.036939313984168866
OBS-006-005,ADD1,379,86,0.22691292875989447
OBS-006-005,ADD3,379,53,0.13984168865435356
OBS-006-005,ADGB,379,1,0.002638522427440633
OBS-006-005,ADGRA2,379,1,0.002638522427440633
OBS-006-005,ADGRA3,379,4,0.010554089709762533
OBS-006-005,ADGRD1,379,1,0.002638522427440633
OBS-006-005,ADGRE1,379,1,0.002638522427440633
OBS-006-005,ADGRE3,379,1,0.002638522427440633
OBS-006-005,ADGRE5,379,283,0.7467018469656992
OBS-006-005,ADGRF2,379,1,0.002638522427440633
OBS-006-005,ADGRF3,379,11,0.029023746701846966
OBS-006-005,ADGRG1,379,64,0.16886543535620052
OBS-006-005,ADGRG2,379,2,0.005277044854881266
OBS-006-005,ADGRG5,379,17,0.044854881266490766
OBS-006-005,ADGRL1,379,1,0.002638522427440633
OBS-006-005,ADGRL2,379,2,0.005277044854881266
OBS-006-005,ADGRL3,379,3,0.0079155672823219
OBS-006-005,ADGRV1,379,1,0.002638522427440633
OBS-006-005,ADH5,379,55,0.14511873350923482
OBS-006-005,ADHFE1,379,1,0.002638522427440633
OBS-006-005,ADI1,379,38,0.10026385224274406
OBS-006-005,ADIPOR1,379,41,0.10817941952506596
OBS-006-005,ADIPOR2,379,67,0.17678100263852242
OBS-006-005,ADK,379,164,0.43271767810026385
OBS-006-005,ADM2,379,2,0.005277044854881266
OBS-006-005,ADM5,379,2,0.005277044854881266
OBS-006-005,ADNP,379,123,0.3245382585751979
OBS-006-005,ADNP2,379,41,0.10817941952506596
OBS-006-005,ADO,379,19,0.05013192612137203
OBS-006-005,ADORA2B,379,5,0.013192612137203167
OBS-006-005,ADPGK,379,38,0.10026385224274406
OBS-006-005,ADPRH,379,16,0.04221635883905013
OBS-006-005,ADPRHL2,379,38,0.10026385224274406
OBS-006-005,ADPRM,379,10,0.026385224274406333
OBS-006-005,ADRA2B,379,1,0.002638522427440633
OBS-006-005,ADRB1,379,1,0.002638522427440633
OBS-006-005,ADRB2,379,4,0.010554089709762533
OBS-006-005,ADRM1,379,107,0.28232189973614774
OBS-006-005,ADSL,379,23,0.06068601583113457
OBS-006-005,ADSS,379,102,0.2691292875989446
OBS-006-005,ADTRP,379,1,0.002638522427440633
OBS-006-005,AEBP2,379,74,0.19525065963060687
OBS-006-005,AEN,379,8,0.021108179419525065
OBS-006-005,AES,379,178,0.46965699208443273
OBS-006-005,AF241726.2,379,7,0.018469656992084433
OBS-006-005,AFAP1,379,13,0.03430079155672823
OBS-006-005,AFAP1L2,379,67,0.17678100263852242
OBS-006-005,AFDN,379,61,0.16094986807387862
OBS-006-005,AFF1,379,54,0.1424802110817942
OBS-006-005,AFF4,379,106,0.2796833773087071
OBS-006-005,AFG1L,379,13,0.03430079155672823
OBS-006-005,AFG3L2,379,51,0.1345646437994723
OBS-006-005,AFMID,379,14,0.036939313984168866
OBS-006-005,AFTPH,379,79,0.20844327176781002
OBS-006-005,AGA,379,28,0.07387862796833773
OBS-006-005,AGAP1,379,6,0.0158311345646438
OBS-006-005,AGAP2,379,12,0.0316622691292876
OBS-006-005,AGAP3,379,48,0.1266490765171504
OBS-006-005,AGAP4,379,5,0.013192612137203167
OBS-006-005,AGAP5,379,1,0.002638522427440633
OBS-006-005,AGAP6,379,19,0.05013192612137203
OBS-006-005,AGAP9,379,3,0.0079155672823219
OBS-006-005,AGBL1,379,1,0.002638522427440633
OBS-006-005,AGBL3,379,7,0.018469656992084433
OBS-006-005,AGBL4,379,2,0.005277044854881266
OBS-006-005,AGBL5,379,16,0.04221635883905013
OBS-006-005,AGER,379,2,0.005277044854881266
OBS-006-005,AGFG1,379,206,0.5435356200527705
OBS-006-005,AGFG2,379,20,0.052770448548812667
OBS-006-005,AGGF1,379,11,0.029023746701846966
OBS-006-005,AGK,379,73,0.19261213720316622
OBS-006-005,AGL,379,41,0.10817941952506596
OBS-006-005,AGMAT,379,14,0.036939313984168866
OBS-006-005,AGMO,379,1,0.002638522427440633
OBS-006-005,AGO1,379,18,0.047493403693931395
OBS-006-005,AGO2,379,124,0.32717678100263853
OBS-006-005,AGO3,379,87,0.22955145118733508
OBS-006-005,AGO4,379,26,0.06860158311345646
OBS-006-005,AGPAT1,379,14,0.036939313984168866
OBS-006-005,AGPAT2,379,25,0.06596306068601583
OBS-006-005,AGPAT3,379,59,0.15567282321899736
OBS-006-005,AGPAT4,379,93,0.24538258575197888
OBS-006-005,AGPAT5,379,43,0.11345646437994723
OBS-006-005,AGPS,379,79,0.20844327176781002
OBS-006-005,AGRN,379,5,0.013192612137203167
OBS-006-005,AGTPBP1,379,49,0.12928759894459102
OBS-006-005,AGTRAP,379,15,0.0395778364116095
OBS-006-005,AHCTF1,379,56,0.14775725593667546
OBS-006-005,AHCY,379,19,0.05013192612137203
OBS-006-005,AHCYL1,379,60,0.158311345646438
OBS-006-005,AHCYL2,379,21,0.055408970976253295
OBS-006-005,AHDC1,379,23,0.06068601583113457
