gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,mlog10p
PRDX1,2.2600161140990154e-11,-0.5959816198556762,0.648,0.747,4.5001440863939594e-7,10.645888464286521
RPS15,2.8295556244073106e-11,-0.3093061873194438,0.995,1,5.634211159319837e-7,10.548281764129888
IL2RB,3.0043110103189566e-11,0.5893453397224224,0.518,0.28,5.982184083747107e-7,10.522255110591377
PFKFB3,3.530641370510481e-11,0.6136770894238421,0.277,0.09,7.03021309696047e-7,10.45214639422347
CRTAM,4.257287004995352e-11,-0.7403650993910906,0.293,0.496,8.477109884346744e-7,10.37086707087426
FOSL2,4.476596516968965e-11,0.5589539160090289,0.539,0.282,8.913798984588603e-7,10.349052047530915
SH3BGRL3,6.896772023509932e-11,0.386951119330341,0.983,0.963,1.3732852453212976e-6,10.161354129610308
MYL12B,1.3831844041420534e-10,0.447238302252877,0.898,0.773,2.7541967855276565e-6,9.859119916519292
TNFSF10,2.653873111556836e-10,0.5485657282871415,0.492,0.259,5.284392139731972e-6,9.576119845702204
XCL2,2.791742557578053e-10,-1.04473926579412,0.392,0.565,5.558917780649419e-6,9.554124632960848
ENTPD1,3.7545292768359857e-10,0.6539409004362182,0.667,0.459,7.476018696035814e-6,9.425444504808263
RPS12,4.024240647475532e-10,-0.2923674309141049,0.998,0.992,8.01306797725328e-6,9.395316056593837
KLRC2,4.330851110513609e-10,0.5567226155535624,0.194,0.047,8.623590731254698e-6,9.363426746538881
SLA2,4.725450178808105e-10,0.4990842464794044,0.336,0.137,9.409316396042698e-6,9.32555681131152
MT-CO1,5.095248856299815e-10,0.31854413725469577,1,0.984,1.0145659522664192e-5,9.292834599826648
SRGAP3,5.613553704259103e-10,0.5379865901454297,0.366,0.161,1.1177708135920726e-5,9.250762118150131
CDC42,5.626011151031186e-10,-0.44444637146883004,0.806,0.86,1.1202513403933298e-5,9.249799411376912
LCK,6.341866454360336e-10,0.5243179001735809,0.496,0.277,1.26279244839223e-5,9.197782907491055
CCL1,7.017624060176695e-10,-1.2803014720850459,0.13,0.303,1.3973493028623835e-5,9.153809901005754
DDIT4,7.198956589156567e-10,0.6572174560403428,0.407,0.203,1.4334562360328555e-5,9.142730445292273
NELL2,7.273629290683698e-10,0.6405564284804213,0.291,0.111,1.448325064360938e-5,9.138248837060946
GEM,8.526508980213498e-10,-0.8134765105759565,0.317,0.488,1.6977984681401118e-5,9.069228746202093
RORA,1.226588243472556e-9,0.5481366781485042,0.388,0.182,2.4423825104025532e-5,8.911301202227577
DUSP4,1.2422880289398104e-9,0.4642115097937971,0.868,0.752,2.4736439232249505e-5,8.90577769974973
SKI,1.2464215843341745e-9,0.5530311828000359,0.355,0.156,2.481874658726208e-5,8.90433503891087
ARHGEF6,1.3795853164894236e-9,0.4759720479379611,0.314,0.127,2.7470302821937403e-5,8.860251436660079
PTPN4,1.437299709148723e-9,0.4434992838511712,0.395,0.187,2.861951180856937e-5,8.842452662305806
GZMA,1.7363566096307445e-9,0.47187523935218323,0.87,0.715,3.457433281096738e-5,8.760361075421097
CSF1,2.0133005091111875e-9,0.7231221098537871,0.314,0.129,4.0088839737421966e-5,8.696091396642284
DNPH1,2.111835076948744e-9,-0.5830558105001289,0.489,0.633,4.205086005220339e-5,8.675340000895705
HOPX,2.807003313984057e-9,0.5024150835187307,0.887,0.749,5.5893049988050546e-05,8.551757074631631
CKLF,3.0239458132105475e-9,0.48563114119433015,0.783,0.565,6.021280903264842e-5,8.519425995325095
CARD11,3.0982751267123647e-9,0.4038846138257022,0.274,0.1,6.16928543230966e-5,8.508880019531084
PITPNC1,3.2683615283631097e-9,0.5493234064146922,0.421,0.216,6.507961475276623e-5,8.48566991019071
CCND2,3.565987499187178e-9,0.555446534589549,0.764,0.58,7.100594308381509e-5,8.447820183606975
BTG1,3.796944305051767e-9,0.5007699807898542,0.837,0.673,7.560475500219079e-5,8.420565773201547
DOCK5,4.4096308543387195e-9,0.4639728357345555,0.236,0.079,8.780456957159258e-5,8.355597765324433
RPS7,4.502720664906815e-9,-0.25997345769141056,0.991,0.987,8.96581738796245e-5,8.346524994509965
RPS18,4.565392771046127e-9,-0.26647421370730573,0.995,1,9.090610085707048e-5,8.340521853187699
ZNF683,4.922831605105804e-9,0.5402939316886026,0.3,0.119,9.802342292086678e-5,8.307785019848643
RPS21,4.985668121087248e-9,-0.3058033444500339,0.981,0.982,9.9274623627089285e-05,8.302276634371674
TNFRSF4,5.674086866680285e-9,-0.6939212460351634,0.168,0.338,1.1298241768933784e-4,8.246104019715505
GZMM,5.874622255914766e-9,0.48411532320064055,0.232,0.077,1.1697547835977482e-4,8.231020053727892
