gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
POLR2F,0.14033492429214148,7.295271165638563,0.7039390442414243,0.48554593053773365,1,-6.7652131969154645
PATL1,0.1084628378515886,7.559323670410635,0.7030807444290871,0.48607484517358646,1,-6.836034804063595
"LOC114841035,FKBP2",-0.09367856272642082,9.185941758174675,-0.7028340402762924,0.48622693279852824,1,-7.217318973967821
CRIP2,0.09919246316241923,8.402122823004365,0.700992368562686,0.48736312585975006,1,-7.042134441506391
SRP68,0.1137637160398923,7.66079863359823,0.6973754314764729,0.48959886739618097,1,-6.865036995702364
APMAP,0.11454579362742473,7.66760293005448,0.6972190653718824,0.4896956512076842,1,-6.865260902679392
SHC1,-0.09065678889690969,8.326547737671536,-0.6952667311648304,0.4909049603496992,1,-7.0301857796199085
EIF1,-0.08694726846766425,8.524545352271998,-0.6931280255252674,0.49223162042945745,1,-7.0800004292927365
HNRNPC,-0.08466369287413442,8.772857082283023,-0.6898787082207192,0.49425101763886703,1,-7.139305595786988
COPRS,-0.11544027629696046,7.52641123829277,-0.6896865659682285,0.49437057474241886,1,-6.839264795659868
"RBMXL1,RBMX",-0.09495609413112292,7.962507032031024,-0.6896054480776962,0.49442105372719036,1,-6.946369608482159
BCL2L13,0.1117343790080259,7.318155051742731,0.6872656075416395,0.4958783474806795,1,-6.781627453008619
RNH1,-0.0949995008042851,8.118548518477326,-0.6870739356741062,0.4959978294242182,1,-6.984808626613127
PSMC3,0.11897417344497244,7.834696263459553,0.6865914219901,0.4962986831700781,1,-6.914669923772358
SHKBP1,-0.13252971816646644,7.185898461435565,-0.6850244537185596,0.49727640519866445,1,-6.766541617300499
EP300,0.10042727465455828,7.743538180981692,0.6830760791827575,0.498493592246133,1,-6.896625825761962
H2BC3,0.11262315542876324,7.756800545015866,0.6825827966778725,0.4988020159515909,1,-6.8993812101406915
NDUFV2,-0.10680126947509824,8.008467125230858,-0.6796787513987983,0.5006198954915295,1,-6.962669718186498
HCN2,-0.10997010791902823,7.451766258387668,-0.679627313009423,0.5006521278146904,1,-6.826509139776776
SS18,-0.12530490783089435,7.219103067798529,-0.6746870859113304,0.5037530871812526,1,-6.782879294531964
AGAP3,0.09776551292387033,8.008039425018014,0.6727182026674355,0.5049918731357753,1,-6.96543610307403
PPM1G,-0.10294821070969583,7.6412117090422775,-0.6688572891158608,0.5074259193256812,1,-6.881688071177882
TRAPPC1,-0.09794957316260049,7.882793452685269,-0.6687509395946432,0.5074930559182611,1,-6.9413123768904805
HNRNPU,0.07643187687896132,9.443676010150254,0.6680148067636815,0.5079578963801928,1,-7.295359757106324
RPS14,0.0584823734310541,10.372970170436009,0.6675855145976545,0.5082290853925098,1,-7.486902958113122
CD320,0.09854282136388028,8.132463246790968,0.663618416692044,0.5107388737790909,1,-6.999994539506137
"MAGEA3,MAGEA6",-0.13029811600309632,7.350675888404416,-0.6612654545063871,0.5122306480592,1,-6.823490028830352
TMEM256,-0.11897914114452528,7.437763324541517,-0.6588956507562034,0.5137354804352849,1,-6.834668509699925
"SBDS,SBDSP1",0.13023478040013908,7.3866760257342134,0.6573908375105174,0.5146922793752737,1,-6.818556069747585
LCP1,0.08182669289521159,8.8882867110993,0.6573463894150179,0.5147205552236045,1,-7.183269591898619
SLC25A46,-0.1266182007145197,7.360896301130382,-0.6552805900248699,0.5160356462235466,1,-6.831457820234678
EEA1,0.11043971248692823,7.564079280796258,0.6551740896201206,0.516103493536425,1,-6.870606991989743
RAN,-0.07930950530356981,8.718064359042755,-0.6550675418572531,0.5161713758236335,1,-7.149769774016085
DIABLO,-0.11809919517647471,7.169025792824907,-0.6533840733751745,0.5172445622148107,1,-6.783727251464255
CALD1,0.121077647271107,7.119793210779352,0.6515854732650598,0.5183924668068847,1,-6.760567646656234
PGP,-0.1299598453242911,7.6111922467904085,-0.6515603753488877,0.5184084944902578,1,-6.887192518776535
GRAMD1A,-0.08984324730894842,8.032738572781346,-0.6505445194385047,0.5190574493809244,1,-6.989420884768773
UBA52,0.07159183274190883,9.555920805476516,0.6492775659519248,0.5198674215733785,1,-7.3309834826883495
MOB1A,0.11074701895877223,7.840859937470138,0.6480206998350714,0.5206716128856381,1,-6.943388191256842
PHC3,0.13751713716069672,7.178354616554619,0.6480131080369621,0.5206764724304478,1,-6.780382867057124
